Lon,Lat,TOCflux
-175,63,100.4440457
-175,65,0
-175,67,0
-175,69,73.11949569
-175,71,52.8125125
-175,73,33.23436747
-175,75,31.73670962
-175,77,31.9074308
-175,79,13.76033389
-175,81,13.00538875
-175,83,5.568076645
-175,85,6.394603684
-175,87,7.155503347
-175,89,0
-173,-90,0
-173,-88,0
-173,-86,0
-173,-84,0
-173,-82,0
-173,-80,0
-173,-78,82.03666996
-173,-76,80.16143372
-173,-74,70.72175026
-173,-72,73.64345395
-173,-70,72.7481853
-173,-68,98.54774729
-173,-66,108.6056626
-173,-64,99.1198652
-173,-62,90.8375226
-173,-60,94.83869546
-173,-58,99.92469779
-173,-56,104.5964146
-173,-54,119.5949969
-173,-52,138.5131397
-173,-50,155.8087397
-173,-48,153.0920211
-173,-46,172.6362356
-173,-44,161.323467
-173,-42,161.4917318
-173,-40,150.2410895
-173,-38,123.745661
-173,-36,104.1299159
-173,-34,104.3115363
-173,-32,115.5769906
-173,-30,75.89210754
-173,-28,36.27819557
-173,-26,50.9542519
-173,-24,44.20817696
-173,-22,57.3834285
-173,-20,71.40125807
-173,-18,90.2877671
-173,-16,117.6476743
-173,-14,116.1566498
-173,-12,121.3573936
-173,-10,122.2652486
-173,-8,110.3209538
-173,-6,100.4030174
-173,-4,109.6446583
-173,-2,130.9288297
-173,0,133.591686
-173,1,106.5077033
-173,3,108.6383992
-173,5,129.3792275
-173,7,122.3830041
-173,9,113.4358157
-173,11,101.6257521
-173,13,101.5262287
-173,15,120.7183649
-173,17,122.0444698
-173,19,87.1323758
-173,21,76.22168266
-173,23,60.46333111
-173,25,38.58613374
-173,27,50.61967996
-173,29,60.81253963
-173,31,65.54680996
-173,33,126.9321067
-173,35,178.2133292
-173,37,200.114408
-173,39,171.5842098
-173,41,159.1022532
-173,43,153.3778845
-173,45,147.3821359
-173,47,146.2441376
-173,49,136.8315234
-173,51,120.8755703
-173,53,130.3492423
-173,55,217.679715
-173,57,213.305126
-173,59,155.9617889
-173,61,134.053918
-173,63,110.6320517
-173,65,0
-173,67,112.3458299
-173,69,63.02733533
-173,71,48.73496132
-173,73,35.4483355
-173,75,29.45605742
-173,77,25.9845786
-173,79,17.53536132
-173,81,19.65485699
-173,83,5.527530251
-173,85,6.347276616
-173,87,7.128046206
-173,89,0
-171,-90,0
-171,-88,0
-171,-86,0
-171,-84,0
-171,-82,0
-171,-80,0
-171,-78,68.66782957
-171,-76,66.10377768
-171,-74,69.05421646
-171,-72,71.60798201
-171,-70,72.68589169
-171,-68,97.61341805
-171,-66,107.9134957
-171,-64,102.8229968
-171,-62,95.02995888
-171,-60,95.3221958
-171,-58,98.46263982
-171,-56,104.8767753
-171,-54,120.3306028
-171,-52,135.2135792
-171,-50,147.5246044
-171,-48,141.3658992
-171,-46,163.6660047
-171,-44,152.083098
-171,-42,152.2037247
-171,-40,142.8355904
-171,-38,115.8075926
-171,-36,101.17943
-171,-34,104.2922204
-171,-32,108.7477901
-171,-30,85.57956064
-171,-28,80.95070812
-171,-26,52.26668776
-171,-24,48.96038942
-171,-22,61.5228094
-171,-20,78.01260939
-171,-18,104.8231072
-171,-16,132.4075919
-171,-14,124.1279041
-171,-12,124.6154315
-171,-10,133.2110044
-171,-8,126.6214644
-171,-6,107.3128724
-171,-4,117.0051458
-171,-2,137.6110782
-171,0,137.6403207
-171,1,113.4468824
-171,3,111.8527683
-171,5,146.3996422
-171,7,132.2601041
-171,9,117.7944057
-171,11,102.0237195
-171,13,99.29585952
-171,15,117.0500656
-171,17,120.9174372
-171,19,88.46014916
-171,21,83.11619082
-171,23,64.0539915
-171,25,37.30970839
-171,27,47.76347378
-171,29,47.42632566
-171,31,53.36347209
-171,33,111.0927668
-171,35,161.2215303
-171,37,182.7305321
-171,39,162.2121578
-171,41,154.4615101
-171,43,150.0418556
-171,45,144.6993732
-171,47,141.4011209
-171,49,129.592016
-171,51,123.6578014
-171,53,127.5185593
-171,55,204.3506049
-171,57,191.0940721
-171,59,146.1958997
-171,61,131.8788751
-171,63,150.4205217
-171,65,213.2661661
-171,67,149.7786904
-171,69,61.57357323
-171,71,49.39094489
-171,73,38.31792195
-171,75,29.01297589
-171,77,21.97592741
-171,79,16.80960565
-171,81,21.56514957
-171,83,5.502508806
-171,85,6.307400408
-171,87,7.102699255
-171,89,0
-169,-90,0
-169,-88,0
-169,-86,0
-169,-84,0
-169,-82,0
-169,-80,0
-169,-78,62.50837348
-169,-76,62.74778913
-169,-74,75.32113674
-169,-72,67.01832011
-169,-70,73.88657488
-169,-68,91.74482668
-169,-66,105.536145
-169,-64,109.6173652
-169,-62,98.24690468
-169,-60,95.31171764
-169,-58,96.34846425
-169,-56,104.1314337
-169,-54,116.9282011
-169,-52,128.6559924
-169,-50,143.7129856
-169,-48,134.7745604
-169,-46,150.4107255
-169,-44,143.3568442
-169,-42,133.7400614
-169,-40,124.140482
-169,-38,108.992515
-169,-36,96.34021274
-169,-34,97.89319988
-169,-32,104.1093077
-169,-30,94.10952977
-169,-28,78.79968092
-169,-26,83.60352666
-169,-24,44.97508701
-169,-22,66.0335876
-169,-20,82.59007236
-169,-18,119.1803458
-169,-16,124.8848351
-169,-14,119.292432
-169,-12,124.8870488
-169,-10,138.6146104
-169,-8,138.3490263
-169,-6,118.1130284
-169,-4,127.8843623
-169,-2,143.8336262
