No,Lon,Lat,Month,MLD,Temp_WOA,Sal_WOA,DO_WOA,Si_WOA,NO3_WOA,PO4_WOA,Chla,GPP,CR,NCP,NCP_corr
14,-17,43,3,149,13.30559063,35.75220108,262.5178833,3.154523373,4.655786037,0.276552588,0.362929907001076,154.75,57.85,96.9,109.0453101
15,-19,40,3,27,14.60620975,35.88731003,257.0876465,4.785654068,1.944137573,0.136502936,0.347940522327758,68.75,38.45,30.3,38.98319862
16,-19,41,3,31,14.17460918,35.83681107,259.5692749,4.873248577,2.861694813,0.190508932,0.364298268564438,101.9,56.3,45.6,56.27379735
17,-20,39,3,97,14.72489071,35.89238739,256.5082703,4.779487133,1.864111543,0.142414555,0.345452398802453,16,11.4,4.6,8.032715845
18,-20,41,3,121,13.90329075,35.8026886,261.1056824,4.737912178,3.247251987,0.248402506,0.358270707055491,132.5,84.75,47.75,68.91682273
19,-10,-29,5,51,22.47879982,36.30059814,224.5797424,1.835200787,0.074352212,0.216464251,0.0635492996372587,14.795,41.62,-26.825,-13.87310969
20,-14,48,5,66,13.09090996,35.58460999,276.7606201,1.965860605,5.180083275,0.345124602,0.484928803246098,254.425,157.225,97.2,122.7767458
21,-158,22,5,29,24.85170937,35.01758957,213.3340759,1.29489243,0.018907756,0.112378784,0.0599307448096704,50.4625,60.06875,-9.60625,8.188620224
22,-17,49,5,31,12.80300999,35.56198883,277.4932251,1.999528408,4.90101099,0.352200061,0.488347685127928,23.735,12.885,10.85,13.27370562
23,-18,-27,5,38,23.41790962,36.39871216,216.787323,2.035725594,0.064508311,0.158497676,0.0572830283175609,16.665,25.085,-8.42,-1.094131377
24,-18,46,5,43,13.76529026,35.65241241,275.4535828,1.891269088,4.69842577,0.338605165,0.658212439249656,41.325,23.97,17.355,21.07200737
25,-18,48,5,48,13.021124076,35.583670806,276.67498172,1.9668097974,4.7456133842,0.3577679096,0.522807742703205,196.17,158.59,37.58,63.12095968
26,-18,49,5,36,12.79089069,35.56359863,277.2698059,1.997649908,4.494468212,0.349089265,0.522986721160293,260.15,181.325,78.825,106.7495417
27,-19,41,5,27,15.27350998,35.81679916,265.4552917,1.290956378,2.491983175,0.166897044,0.467716348079736,70.09,36.335,33.755,40.22890116
28,-19,43,5,24,14.85070038,35.76901245,268.4855652,1.480380654,3.219468594,0.2074911,0.739969390242943,149.55,94.1625,55.3875,72.69350613
29,-19,46,5,34,13.79525447,35.670873645,274.243942225,1.72551006075,4.59307742125,0.31930603125,0.746579215453382,205.85,151.125,54.725,77.4868984725
30,-20,38,5,19,16.58320999,36.03518677,253.7565002,0.884142935,0.78137958,0.103626393,0.194472398325714,41.3,42.06,-0.76,8.284114278
31,-21,13,5,13,23.63999939,35.94169998,218.4037781,0.31893146,0.631953359,0.242137775,0.654576401569341,303.7,350.75,-47.05,26.42115722
32,-21,36,5,33,18.15779114,36.26049042,242.3202209,0.728304744,0.121862672,0.055928949,0.118672603305582,125.325,104.875,20.45,48.02594098
